pid,ipc1,YEAR,tech,com
US20150005785,A61B 19,2016,robot arm collision,"St. Jude Medical, Atrial Fibrillation Division, Inc."
WO2015120008A1,A61B 19,2015,robot arm collision,Intuitive Surgical Operations
US20130325030,A61B 19,2013,collision avoidance scheme,"Intuitive Surgical Operations, Inc."
US20110172819,B25J 9,2011,manipulator control,"Samsung Electronics Co., Ltd."
US8086008,G06T 7,2010,real-time guiding location,"Intuitive Surgical Operations, Inc."
US20110066282,B25J 19,2009,collision avoidance scheme,"Harris Corporation, Corporation Of The State Of Delaware"
WO2008031664A1,G05B 19,2007,robot arm collision,Abb Research Ltd.
EP1366867A2,B25J 9,2003,avoiding collision robots and others,KUKA Roboter GmbH
US6166504,B25J 9,1999,moving robot arm,Denso Corporation
US6044964,G11B 23,1998,multidirection conveyr,"Sony Corporation, Digital Audio Disc Corporation"
KR100218106B1,G05B 13,1997,robot arm,SAMSUNG ELECTRONICS CO LTD
US6034712,B41J 2,1997,exposure and image forming,Brother Kogyo Kabushiki Kaisha
EP0743579A2,G05B 19,1996,robot,Siemens Aktiengesellschaft
US6167145,G06F 19,1996,bone navigation system,"Surgical Navigation Technologies, Inc."
EP0583487A1,G05B 19,1992,braking action,Siemens Aktiengesellschaft
EP0102219A2,G01B 21,1983,Acceleration/deceleration device,Fanuc Ltd.
US3868565,G05D 1,1973,object tracking,Jack Kuipers
US3821469,G06F 3,1972,graphica data device,Amperex Electronic Corp
US3538315,G05B 19,1967,machine control,Pratt & Whitney Inc
US3417303,G05B 19,1964,neuro control system,Pratt & Whitney Inc
US3286085,G05B 19,1963,machine control,Twr Inc
US3122691,G05B 19,1962,digital contouring system,Bendix Corp
US3204132,G05B 19,1962,contourding system,Bendix Corp
US3099781,G05B 19,1961,digital control,Westinghouse Electric Corp
US3109974,G05B 19,1961,feedrate control,Thompson Ramo Wooldridge Inc
US3110865,G05B 19,1960,feed rate control,Gen Electric
US3246125,G05B 19,1960,neuro control system,Warner Swasey Co
US3015806,G05B 19,1958,machine control system,Wang Laboratories
US3278817,G05B 19,1958,control system,Bendix Corp
US2838963,B23B 39,1957,control system,American Steel Foundries
US2922940,H03M 1,1957,digital control,Harry W Mergler
US3063311,G05B 19,1957,control system,Gen Electric
US2843811,G05B 19,1956,three dimensional system,Inductosyn Corp
US2867724,G05B 19,1956,control cirtcuit,Gen Dynamics Corp
US2927735,G05B 19,1956,radio system,Gen Dynamics Corp
US2736852,G05B 19,1955,automatic digital control system,Eldred C Nelson
US2833941,H03M 1,1955,automation system,Gen Dynamics Corp
US2839711,G05D 3,1955,automatic control,Industosyn Corp
US2876650,G05B 19,1955,automatic position machine,Sundstrand Machine Tool Co
US2820898,G01S 13,1954,radio system,Csf
US2711499,H03M 1,1953,converting electrical code,Bernard Lippel
US2744872,C10M,1953,gear,Texas Co
US2784359,B25J 9,1953,digital control,Sperry Prod Inc
US2809333,H02P 5,1952,thickness control system,Giddings & Lewis
US2590110,H03M 1,1951,translator,Us Army
US2640176,B23Q 35,1951,speed control,Raytheon Mfg Co
US2643355,H03M 1,1951,computer device,Jr Ludlow B Hallman
US2673951,B23Q 35,1951,motor mechanism,Electronique & Automatisme Sa
US2685054,H03M 1,1951,electric rotation,Us Army
US2741732,G05B 19,1951,automatic motor control,Bosch Arma Corp
US2781169,G06G 7,1951,vector adder,Northrop Aircraft Inc
US2870429,G05B 19,1951,automatic program,Gen Precision Lab Inc
US2927258,G05B 19,1951,automatic control,Lippel Bernard
US2575017,H03M 5,1950,sync coded signal,Eastman Kodak Co
US2576903,G04C 23,1950,electric switching,Librascope Inc
US2656497,G05D 3,1950,position control system,Collins Radio Co
US2658139,H03M 1,1950,decoder,Raytheon Mfg Co
US2660700,G06G 7,1950,sythesizer,United Shoe Machinery Corp
US2672067,G05D 3,1950,electric control,Hansell Marjorie B
US2706270,G05B 19,1950,digital control,Ncr Co
US2710934,G05B 19,1950,motor control,Kearney & Trecker Corp
US2715703,G05D 3,1950,remote digital control,Honeywell Regulator Co
US2505029,H03M 1,1949,decoder,Bell Telephone Labor Inc
US2531600,H01J 29,1949,electric beam tube,Bell Telephone Labor Inc
US2533242,H03M 1,1949,data transformer,Gridley Darrin H
US2537427,G05B 19,1949,digital serve,North American Aviation Inc
US2537770,G05B 19,1949,control system,Gen Electric
US2539014,H04M 3,1949,digit generator,Frantz Walter J
US2549422,H03M 1,1949,decoder,Bell Telephone Labor Inc
US2557086,H04J 3,1949,electric communication,"Bert Fisk, Spencer Charles L"
US2564403,G06F 7,1949,data posting system,Teleregister Corp
US2575034,G11B 7,1949,data film record,Eastman Kodak Co
US2584809,G06G 7,1949,computer device,Phillips Petroleum Co
US2588386,G05B 19,1949,automatic tracker,"Capecelatro Achille, Charles L Hubbard"
US2627055,B23Q 35,1949,navigating machine,Raytheon Mfg Co
US2630481,H03M 1,1949,data transmission,Johnson Eric A
